alpha_deg,Cx,Cz,Cm
0,-0.279712,0.001486,0.000662
5,-0.319280,-0.153150,0.080312
10,-0.513552,-0.349951,0.127822
15,-0.615352,-0.669886,0.173728
20,-0.745613,-1.085417,0.204830
25,-0.851425,-1.601889,0.237743
30,-0.858552,-2.189253,0.301274
35,-0.816817,-2.784596,0.383868
40,-0.726176,-3.526963,0.454327
45,-0.583538,-4.101706,0.513493
50,-0.459681,-4.689422,0.578811
55,-0.361195,-5.382646,0.578980
60,-0.213447,-5.742031,0.576748
65,0.008060,-5.784244,0.654475
70,0.153323,-5.871361,0.608461
75,0.438058,-5.820919,0.581764
80,0.585248,-5.741940,0.530398
85,0.476796,-5.572274,0.449842
90,0.368344,-5.061664,0.168800
95,-0.476796,-5.572274,-0.449842
100,-0.585248,-5.741940,-0.530398
105,-0.438058,-5.820919,-0.581764
110,-0.153323,-5.871361,-0.608461
115,-0.008060,-5.784244,-0.654475
120,0.213447,-5.742031,-0.576748
125,0.361195,-5.382646,-0.578980
130,0.459681,-4.689422,-0.578811
135,0.583538,-4.101706,-0.513493
140,0.726176,-3.526963,-0.454327
145,0.816817,-2.784596,-0.383868
150,0.858552,-2.189253,-0.301274
155,0.851425,-1.601889,-0.237743
160,0.745613,-1.085417,-0.204830
165,0.615352,-0.669886,-0.173728
170,0.513552,-0.349951,-0.127822
175,0.319280,-0.153150,-0.080312
180,0.279712,0.001486,-0.000662
