alpha_deg,Cx,Cz,Cm,source_file,residual_file,n_samples,average_window,Cx_raw_std,Cz_raw_std,Cm_raw_std
0,-0.279712389406,0.0014864854156,0.000661694239993,C_0_overmesh.csv,Residuals_0.csv,2000,500,0.0021469934185,0.00507770200871,0.00242271672859
5,-0.319280462441,-0.153149911286,0.0803122598276,C_5_overmesh.csv,Residuals_5.csv,2245,500,0.0022656036985,0.00342598502194,0.000882215122601
10,-0.513552023158,-0.349951349346,0.127821827616,C_10_overmesh.csv,Residuals_10.csv,2500,500,0.00872722756788,0.00787565064566,0.00304560666273
15,-0.615351632375,-0.669885784576,0.17372810742,C_15_overmesh.csv,Residuals_15.csv,2500,500,0.0110651575227,0.0129447657067,0.00370632712539
20,-0.745613450539,-1.08541655002,0.204829908425,C_20_overmesh.csv,Residuals_20.csv,3409,500,0.00957665804999,0.0155094039022,0.00459125790812
25,-0.851425303426,-1.60188919518,0.237743049017,C_25_overmesh.csv,Residuals_25.csv,3500,500,0.0224291927577,0.0490526962359,0.0183583992631
30,-0.85855161052,-2.18925306341,0.301274047417,C_30_overmesh.csv,Residuals_30.csv,3500,500,0.0274726394291,0.0382775499952,0.0148231629045
35,-0.816817124934,-2.78459643476,0.383868433735,C_35_overmesh.csv,Residuals_35.csv,3500,500,0.0195805576583,0.0450548711294,0.0121339140823
40,-0.726176195777,-3.5269625405,0.454326565631,C_40_overmesh.csv,Residuals_40.csv,3500,500,0.0196424673838,0.0861913105834,0.0166773877547
45,-0.583537899702,-4.10170600109,0.513492835488,C_45_overmesh.csv,Residuals_45.csv,3500,500,0.0339649647242,0.0645126864284,0.0217957441092
50,-0.459681403948,-4.68942161406,0.578810649381,C_50_overmesh.csv,Residuals_50.csv,3500,500,0.0226783313727,0.103462665423,0.0235807945805
55,-0.361194601314,-5.38264636707,0.578980212867,C_55_overmesh.csv,Residuals_55.csv,3500,500,0.0405878466051,0.159846203645,0.0371259534209
60,-0.213446692934,-5.74203056849,0.5767484118,C_60_overmesh.csv,Residuals_60.csv,3500,500,0.0412443923952,0.240697990766,0.0424221617776
65,0.00805988400618,-5.78424359934,0.65447546824,C_65_overmesh.csv,Residuals_65.csv,3500,500,0.0323505137447,0.0916823355281,0.0283424929209
70,0.153323026395,-5.87136104077,0.608460691866,C_70_overmesh.csv,Residuals_70.csv,3500,500,0.0308221049699,0.0719066006069,0.0207448213162
75,0.438057785486,-5.82091917382,0.581764235065,C_75_overmesh.csv,Residuals_75.csv,3500,500,0.0207647607937,0.0827749102776,0.0188354612932
80,0.585248430215,-5.74194038332,0.530397806845,C_80_overmesh.csv,Residuals_80.csv,3500,500,0.0238501609872,0.0602558307477,0.0168557085362
85,0.476795982509,-5.40180216153,0.449841621571,C_85_overmesh.csv,Residuals_85.csv,3500,500,0.0256059865653,0.0497912670662,0.0147221845285
90,0.368343534804,-5.06166393974,0.168799558668,C_90_overmesh.csv,Residuals_90.csv,3500,500,0.0103393152669,0.0204162357411,0.00983853988142
95,0.382246880602,-5.00814641328,0.0381560418413,C_95_overmesh.csv,Residuals_95.csv,3000,500,0.0125501642193,0.0317775957,0.0147259630831
100,0.3498793095,-4.93528941298,-0.101559081309,C_100_overmesh.csv,Residuals_100.csv,3000,500,0.0161663178102,0.0202682804572,0.00871026295322
105,0.316304456825,-5.19525895106,-0.270327048859,C_105_overmesh.csv,Residuals_105.csv,3000,500,0.027257792497,0.0557226831186,0.0149949594445
110,0.284642128782,-5.23343632137,-0.370195843839,C_110_overmesh.csv,Residuals_110.csv,3000,500,0.0360998184985,0.0421385161947,0.0112399769882
115,0.423594370552,-5.21109050185,-0.408691071768,C_115_overmesh.csv,Residuals_115.csv,3000,500,0.0254153187486,0.062531142587,0.0182527890911
120,0.486114035564,-5.11091604833,-0.447001693603,C_120_overmesh.csv,Residuals_120.csv,3000,500,0.0707400897302,0.132275503207,0.0275880665048
125,0.620867170276,-5.01543495781,-0.350261395737,C_125_overmesh.csv,Residuals_125.csv,3000,500,0.0141375886347,0.102355236542,0.0164500314214
130,0.661119135289,-4.91995386729,-0.361984764641,C_130_overmesh.csv,Residuals_130.csv,3000,500,0.0196326683405,0.0701193007576,0.0185626354425
135,0.714570639404,-4.24767247233,-0.350268190885,C_135_overmesh.csv,Residuals_135.csv,3000,500,0.0293521197331,0.126674989161,0.0272884759916
140,0.76389810244,-3.54472084366,-0.309657073539,C_140_overmesh.csv,Residuals_140.csv,3000,500,0.0819337768838,0.079580410512,0.0413727752387
