t,u,w,q,theta,theta_deg,V,Q,alpha_raw_deg,alpha_deg,Cx,Cz,Cm,X_cfd,Z_cfd,M_cfd,M_damp,M_bg,M_cable,T,M_thruster
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.279712,0.001486,0.000662,-0.0,0.0,0.0,-0.0,0.6353863425000001,0.0,0.0,0.0
0.01,-1.2907292399171858e-06,0.0032795987702118256,0.03551198763274174,0.00017758663669769593,0.01017496478070104,0.0032795990242035517,0.0,0.0,0.0,-0.279712,0.001486,0.000662,-0.0,0.0,0.0,-0.0005729807392544893,0.6353863324809063,0.0,0.0,0.0
0.02,-1.0294060526702989e-05,0.006559368468968664,0.0709668852473469,0.0007100497353090844,0.040682853077591764,0.006559376546546359,0.0,0.0,0.0,-0.279712,0.001486,0.000662,-0.0,0.0,0.0,-0.0020459233157054182,0.6353861823284417,0.0,0.0,0.0
0.03,-3.494121275650515e-05,0.009837969016574022,0.10631353786401929,0.0015965628203203285,0.0914763113318584,0.00983803106619507,0.0,0.0,0.0,-0.279712,0.001486,0.000662,-0.0,0.0,0.0,-0.004410409075774411,0.6353855326961997,0.0,0.0,0.0
0.04,-8.306873030489316e-05,0.01311436266293236,0.14150155264719344,0.0028357913455976614,0.16247887568247063,0.01311462574642787,0.08578695827280661,90.3629169122982,89.6370830877018,-0.376215812994513,-5.110618575509593,-0.19621839725923076,-0.00018314114096890398,-0.0024878393853938097,-5.96992137091359e-05,-0.007652939114147861,0.6353837877045482,0.0,0.0,0.0
0.05,-0.00016226783714582077,0.016388675351453594,0.17648212040358857,0.004425902939870049,0.2535855589890972,0.016389478656330548,0.1339799293076985,90.56727943054621,89.4327205694538,-0.38064851776031916,-5.137717407352995,-0.2114029345721796,-0.00028939530938519885,-0.00390604783484497,-0.00010045195042302962,-0.011755185371416978,0.6353801193403567,0.0,0.0,0.0
0.06,-0.00028016875315097054,0.01966026361206614,0.21120683768223805,0.006364580658689429,0.3646636101134978,0.019662259784322202,0.1928307657743291,90.81643872767103,89.18356127232897,-0.38605288257867565,-5.170237118424354,-0.22962632514940923,-0.0004224260827081747,-0.0056573674518886775,-0.00015703831229613087,-0.01669407167689353,0.6353734734643725,0.0,0.0,0.0
0.07,-0.00044429774742440656,0.022928475462384464,0.24562852189553264,0.008649031185100044,0.49555298378326523,0.022932779759931698,0.2623148436021889,91.11011307017044,88.88988692982957,-0.3924227965372246,-5.207752868700751,-0.250643951648869,-0.0005841235223729555,-0.0077517692044294624,-0.00023317807539235011,-0.022442050948349668,0.6353625773752397,0.0,0.0,0.0
0.08,-0.0006620700482408335,0.02619260434259021,0.2797013370719301,0.011275994040461285,0.6460668683331,0.0262009705735542,0.34240825389558066,91.4479561917115,88.55204380828849,-0.3997507489806994,-5.249693216326933,-0.27412135241189317,-0.0007767139610492373,-0.010200131013496792,-0.0003328853697943529,-0.02896737680727375,0.6353459488634462,0.0,0.0,0.0
0.09,-0.0009407830952106655,0.029451883599540478,0.31338085037603114,0.014241744467815416,0.815991850909612,0.02946690551098156,0.4330903701509384,91.82958004691983,88.17041995308017,-0.4080283230497099,-5.295311256234565,-0.29961498939377956,-0.0010027586985262209,-0.013013604996597542,-0.00046020325038019977,-0.036234389183711635,0.6353219067455796,0.0,0.0,0.0
0.1,-0.0012875721967896638,0.032705479046944576,0.34662461832504626,0.017542143068100226,1.005090761416816,0.03273081425586715,0.5343466430128795,92.25449609889989,87.74550390110011,-0.4172449221835782,-5.343642764497667,-0.3265454272670172,-0.0012651492015540856,-0.016202726546112458,-0.00061883420356557,-0.0442039508525932,0.6352885823092873,0.0,0.0,0.0
0.11,-0.0017094054658268539,0.03595248816322283,0.37939225430418483,0.02117264143298079,1.2131029952536188,0.03599310311953217,0.6461718696023229,92.72214858584167,87.27785141415836,-0.42738849168633936,-5.393473669125908,-0.35417549421772826,-0.001567106354372682,-0.019776262167657967,-0.0008116600562899345,-0.05283383158306788,0.6352439320885378,0.0,0.0,0.0
0.12,-0.0022130838195645276,0.03919194009150664,0.41164542856665554,0.025128282144849468,1.4397445133138185,0.039254374382082104,0.7685738193093691,93.23193613233352,86.76806386766646,-0.43844598748476743,-5.4433037535480455,-0.38158613755171783,-0.0019121822690909705,-0.02373972899722914,-0.0010401256186411288,-0.06207908452370533,0.6351857518770955,0.0,0.0,0.0
0.13,-0.00280522249208767,0.04242278714144833,0.4433479775059591,0.029403732822859834,1.6847097926801589,0.04251543416312185,0.9015767490071092,93.78319693814927,86.21680306185073,-0.450403054867233,-5.491305330533875,-0.40764936720129313,-0.002304260795605675,-0.02809350303713984,-0.0013034581540975168,-0.07189245824874091,0.6351116912846091,0.0,0.0,0.0
0.14,-0.003492226964530989,0.045643946721706956,0.4744668645256869,0.033993309394849715,1.9476731600072992,0.04577734725282605,1.045227218599434,94.37518700335342,85.6248129966466,-0.46324355617753665,-5.535282373831959,-0.43100149098327784,-0.0027475632436872585,-0.03283054494975429,-0.0015977068633878325,-0.08222511428487678,0.6350192690673986,0.0,0.0,0.0
0.15,-0.004280302076737795,0.04885429461630045,0.5049720188765676,0.03889100706869443,2.228290566049642,0.04904144255957821,1.1995985697259928,95.00710556752074,84.99289443247926,-0.47695034131620206,-5.572635739218148,-0.4500198072576112,-0.003246659201302001,-0.0379336118060188,-0.0019145873551126703,-0.09302705702679419,0.6349058888268645,0.0,0.0,0.0
0.16,-0.005175432551492274,0.05205262472185562,0.5348359929903438,0.04409056696206758,2.526203403265416,0.05230928065390864,1.3647935511672258,95.67808176382002,84.32191823617995,-0.4932279876218809,-5.604883489404138,-0.4655757265001781,-0.0038198145109333095,-0.04340713792042457,-0.002253538121131352,-0.10424746038023269,0.6347688539758849,0.0,0.0,0.0
0.17,-0.006183382831998645,0.05523764884568287,0.5640339615425716,0.049585476499966155,2.841038528593186,0.0555826598252191,1.5409484742096893,96.38718251850781,83.61281748149219,-0.5129162583590096,-5.635104262252192,-0.47965201697369264,-0.004484997269673504,-0.04927398345957046,-0.0026213318834478576,-0.11583507695698537,0.6346053841440711,0.0,0.0,0.0
0.18,-0.007309697081881157,0.05840799670577624,0.5925437214526218,0.055368969414710534,3.1724082634518536,0.05886361992445614,1.7282373983525452,97.13341680946127,82.86658319053873,-0.5343905883921589,-5.663052471267599,-0.4923383517707752,-0.00524070603916085,-0.055536893670884775,-0.003017690418630345,-0.12773863441827477,0.6344126321083862,0.0,0.0,0.0
0.19,-0.008559701545161115,0.06156221612281508,0.6203456981443259,0.06143402918321322,3.5199105906816492,0.06215444428594327,1.9268763304024024,97.91573980449124,82.08426019550876,-0.555413213674143,-5.688602989599168,-0.5038706034716768,-0.00607292125695915,-0.062199524907605656,-0.0034433445487570377,-0.13990721985801194,0.6341877010710437,0.0,0.0,0.0
0.2,-0.009938413440354933,0.06469878062850533,0.6474229912048746,0.06777349013463455,3.883134947586081,0.06545765254366279,2.137126941398217,98.73297321915936,81.26702678084064,-0.5730844240891385,-5.711763119550656,-0.5146436313932414,-0.006949867494632879,-0.06926727576779092,-0.0039007178685153323,-0.15229066709277927,0.6339276580926477,0.0,0.0,0.0
0.21,-0.011450147191450086,0.0678160879226381,0.6737609017699412,0.07438001679101726,4.261661042237486,0.06877592348952397,2.359295435247012,99.58350150658518,80.41649849341479,-0.5838056235019281,-5.7326794601780025,-0.5252195167139241,-0.007815885739281627,-0.07674809189385955,-0.004394715858136117,-0.16483967973505062,0.6336295511234057,0.0,0.0,0.0
0.22,-0.01309872531974969,0.0709124539625245,0.6993470361228852,0.08124615225379933,4.655061625820003,0.07211208450730994,2.593734779738044,100.46553107285548,79.53446892714453,-0.5831833801338192,-5.751636155569938,-0.5361784374503469,-0.008583379304395726,-0.08465343222367713,-0.004932221000556575,-0.17750617380204867,0.6332904231098869,0.0,0.0,0.0
0.23,-0.014887547952022153,0.07398611374845565,0.7241713956098597,0.08836435275470589,5.0629044722498575,0.07546909375117193,2.8408462909874648,101.37717528662,78.62282471338,-0.5685671625201184,-5.768816190829617,-0.5470817579965811,-0.009165520010660535,-0.09299552228889127,-0.005511979422711978,-0.19024360809682775,0.632907325684929,0.0,0.0,0.0
0.24,-0.01681959282050117,0.07703522132370266,0.7482263766398114,0.09572698765574926,5.484752378175362,0.07885000968319096,3.1010799868686796,102.31646991796093,77.68353008203906,-0.5420983989020197,-5.78438085767388,-0.5575822953443734,-0.009539348018125473,-0.10178820336399387,-0.006132387098458953,-0.20300725771781455,0.6324773339601867,0.0,0.0,0.0
